year,country,country_id,artist,song,language,final_place,final_points,final_points_tele,final_points_jury,final_running,which_semifinal,semifinal_place,semifinal_points,semifinal_points_tele,semifinal_points_jury,semifinal_running
1997,Croatia,hr,E.N.I.,Probudi me,Croatian,17,24,,,23.0,No Semifinal,,,,,
1997,Cyprus,cy,Hara & Andreas Konstantinou,Mana mou (Μάνα μου),Greek,5,98,,,1.0,No Semifinal,,,,,
1997,Denmark,dk,Kølig Kaj,Stemmen i mit liv,Danish,16,25,,,21.0,No Semifinal,,,,,
1997,Estonia,ee,Maarja-Liis Ilus,Keelatud maa,Estonian,8,82,,,13.0,No Semifinal,,,,,
1997,France,fr,Fanny,Sentiments songes,French,7,95,,,22.0,No Semifinal,,,,,
1997,Germany,de,Bianca Shomburg,Zeit,German,18,22,,,11.0,No Semifinal,,,,,
1997,Greece,gr,Marianna Zorba,Horepse (Χόρεψε),Greek,12,39,,,17.0,No Semifinal,,,,,
1997,Hungary,hu,V.I.P.,"Miért kell, hogy elmenj?",Hungarian,12,39,,,19.0,No Semifinal,,,,,
1997,Iceland,is,Paul Oscar,Minn hinsti dans,Icelandic,20,18,,,25.0,No Semifinal,,,,,
1997,Ireland,ie,Marc Roberts,Mysterious Woman,English,2,157,,,5.0,No Semifinal,,,,,
1997,Italy,it,Jalisse,Fiumi di parole,Italian,4,114,,,9.0,No Semifinal,,,,,
1997,Malta,mt,Debbie Scerri,Let Me Fly,English,9,66,,,18.0,No Semifinal,,,,,
1997,Netherlands,nl,Mrs. Einstein,Niemand heeft nog tijd,Dutch,22,5,,,8.0,No Semifinal,,,,,
1997,Norway,no,Tor Endresen,San Francisco,Norwegian,24,0,,,3.0,No Semifinal,,,,,
1997,Poland,pl,Anna Maria Jopek,Ale jestem,Polish,11,54,,,12.0,No Semifinal,,,,,
1997,Portugal,pt,Célia Lawson,Antes do adeus,Portuguese,24,0,,,15.0,No Semifinal,,,,,
1997,Russia,ru,Alla Pugacheva,Primadonna (Примадонна),Russian,15,33,,,20.0,No Semifinal,,,,,
1997,Slovenia,si,Tanja Ribič,Zbudi se,Slovene,10,60,,,6.0,No Semifinal,,,,,
1997,Spain,es,Marcos Llunas,Sin rencor,Spanish,6,96,,,10.0,No Semifinal,,,,,
1997,Sweden,se,Blond,Bara hon älskar mig,Swedish,14,36,,,16.0,No Semifinal,,,,,
1997,Switzerland,ch,Barbara Berta,Dentro di me,Italian,22,5,,,7.0,No Semifinal,,,,,
1997,Turkey,tr,Şebnem Paker & Grup Ethnic,Dinle,Turkish,3,121,,,2.0,No Semifinal,,,,,
1997,United Kingdom,gb,Katrina and the Waves,Love Shine a Light,English,1,227,,,24.0,No Semifinal,,,,,
1998,Belgium,be,Mélanie Cohl,Dis oui,French,6,122,,,20.0,No Semifinal,,,,,
1998,Croatia,hr,Danijela,Neka mi ne svane,Croatian,5,131,,,1.0,No Semifinal,,,,,
1998,Cyprus,cy,Michael Hajiyanni,Genesis (Γένεσις),Greek,11,37,,,17.0,No Semifinal,,,,,
1998,Estonia,ee,Koit Toome,Mere lapsed,Estonian,12,36,,,23.0,No Semifinal,,,,,
1998,Finland,fi,Edea,Aava,Finnish,15,22,,,21.0,No Semifinal,,,,,
1998,France,fr,Marie Line,Où aller,French,24,3,,,3.0,No Semifinal,,,,,
1998,Germany,de,Guildo Horn,Guildo hat euch lieb!,German,7,86,,,9.0,No Semifinal,,,,,
1998,Greece,gr,Thalassa,Mia Krifi Evesthisia (Μια κρυφή ευαισθησία),Greek,20,12,,,2.0,No Semifinal,,,,,
1998,Hungary,hu,Charlie,A holnap már nem lesz szomorú,Hungarian,23,4,,,11.0,No Semifinal,,,,,
1998,Ireland,ie,Dawn Martin,Is Always Over Now?,English,9,64,,,13.0,No Semifinal,,,,,
1998,Israel,il,Dana International,Diva (דיווה),Hebrew,1,172,,,8.0,No Semifinal,,,,,
1998,Malta,mt,Chiara,The One That I Love,English,3,165,,,10.0,No Semifinal,,,,,
1998,Netherlands,nl,Edsilia,Hemel en aarde,Dutch,4,150,,,18.0,No Semifinal,,,,,
1998,North Macedonia,mk,Vlado Janevski,"Ne zori, zoro (Не зори, зоро)",Macedonian,19,16,,,25.0,No Semifinal,,,,,
1998,Norway,no,Lars Fredriksen,Alltid sommer,Norwegian,8,79,,,22.0,No Semifinal,,,,,
1998,Poland,pl,Sixteen,To takie proste,Polish,17,19,,,7.0,No Semifinal,,,,,
1998,Portugal,pt,Alma Lusa,Se eu te pudesse abraçar,Portuguese,12,36,,,14.0,No Semifinal,,,,,
1998,Romania,ro,Mălina Olinescu,Eu cred,Romanian,22,6,,,15.0,No Semifinal,,,,,
1998,Slovakia,sk,Katarína Hasprová,Modlitba,Slovak,21,8,,,6.0,No Semifinal,,,,,
1998,Slovenia,si,Vili Resnik,Naj bogovi slišijo,Slovene,18,17,,,12.0,No Semifinal,,,,,
1998,Spain,es,Mikel Herzog,¿Qué voy a hacer sin ti?,Spanish,16,21,,,4.0,No Semifinal,,,,,
1998,Sweden,se,Jill Johnson,Kärleken är,Swedish,10,53,,,19.0,No Semifinal,,,,,
1998,Switzerland,ch,Gunvor,Lass ihn,German,25,0,,,5.0,No Semifinal,,,,,
1998,Turkey,tr,Tüzmen,Unutamazsın,Turkish,14,25,,,24.0,No Semifinal,,,,,
1998,United Kingdom,gb,Imaani,Where Are You?,English,2,166,,,16.0,No Semifinal,,,,,
1999,Austria,at,Bobbie Singer,Reflection,English,10,65,,,18.0,No Semifinal,,,,,
1999,Belgium,be,Vanessa Chinitor,Like the Wind,English,12,38,,,2.0,No Semifinal,,,,,
1999,Bosnia and Herzegovina,ba,Dino & Béatrice,Putnici,"Bosnian, French",7,86,,,22.0,No Semifinal,,,,,
1999,Croatia,hr,Doris Dragović,Marija Magdalena,Croatian,4,118,,,4.0,No Semifinal,,,,,
1999,Cyprus,cy,Marlain,Tha'nai Erotas (Θα'ναι έρωτας),Greek,22,2,,,14.0,No Semifinal,,,,,
1999,Denmark,dk,Trine Jepsen & Michael Teschl,This Time I Mean It,English,8,71,,,9.0,No Semifinal,,,,,
1999,Estonia,ee,Evelin Samuel & Camille,Diamond of Night,English,6,90,,,23.0,No Semifinal,,,,,
1999,France,fr,Nayah,Je veux donner ma voix,French,19,14,,,10.0,No Semifinal,,,,,
1999,Germany,de,Sürpriz,Reise nach Jerusalem – Kudüs'e seyahat,"German, Turkish, English, Hebrew",3,140,,,21.0,No Semifinal,,,,,
1999,Iceland,is,Selma,All Out of Luck,English,2,146,,,13.0,No Semifinal,,,,,
1999,Ireland,ie,The Mullans,When You Need Me,English,17,18,,,17.0,No Semifinal,,,,,
1999,Israel,il,Eden,Yom Huledet (Happy Birthday) (יום הולדת),"English, Hebrew",5,93,,,19.0,No Semifinal,,,,,
1999,Lithuania,lt,Aistė,Strazdas,Samogitian,20,13,,,1.0,No Semifinal,,,,,
1999,Malta,mt,Times Three,Believe 'n Peace,English,15,32,,,20.0,No Semifinal,,,,,
1999,Netherlands,nl,Marlayne,One Good Reason,English,8,71,,,11.0,No Semifinal,,,,,
1999,Norway,no,Stig Van Eijk,Living My Life Without You,English,14,35,,,8.0,No Semifinal,,,,,
1999,Poland,pl,Mietek Szcześniak,Przytul mnie mocno,Polish,18,17,,,12.0,No Semifinal,,,,,
1999,Portugal,pt,Rui Bandeira,Como tudo começou,Portuguese,21,12,,,16.0,No Semifinal,,,,,
1999,Slovenia,si,Darja Švajger,For a Thousand Years,English,11,50,,,6.0,No Semifinal,,,,,
1999,Spain,es,Lydia,No quiero escuchar,Spanish,23,1,,,3.0,No Semifinal,,,,,
1999,Sweden,se,Charlotte Nilsson,Take Me to Your Heaven,English,1,163,,,15.0,No Semifinal,,,,,
1999,Turkey,tr,Tuğba Önal & Grup Mistik,Dön Artık,Turkish,16,21,,,7.0,No Semifinal,,,,,
1999,United Kingdom,gb,Precious,Say It Again,English,12,38,,,5.0,No Semifinal,,,,,
2000,Austria,at,The Rounder Girls,All to You,English,14,34,,,24.0,No Semifinal,,,,,
2000,Belgium,be,Nathalie Sorce,Envie de vivre,French,24,2,,,10.0,No Semifinal,,,,,
2000,Croatia,hr,Goran Karan,Kad zaspu anđeli,Croatian,9,70,,,17.0,No Semifinal,,,,,
2000,Cyprus,cy,Voice,Nomiza (Νόμιζα),"Greek, Italian",21,8,,,11.0,No Semifinal,,,,,
2000,Denmark,dk,Olsen Brothers,Fly on the Wings of Love,English,1,195,,,14.0,No Semifinal,,,,,
2000,Estonia,ee,Ines,Once in a Lifetime,English,4,98,,,4.0,No Semifinal,,,,,
2000,Finland,fi,Nina Åström,A Little Bit,English,18,18,,,20.0,No Semifinal,,,,,
2000,France,fr,Sofia Mestari,On aura le ciel,French,23,5,,,5.0,No Semifinal,,,,,
2000,Germany,de,Stefan Raab,Wadde hadde dudde da?,"German, English",5,96,,,15.0,No Semifinal,,,,,
2000,Iceland,is,August & Telma,Tell Me!,English,12,45,,,12.0,No Semifinal,,,,,
2000,Ireland,ie,Eamonn Toal,Millennium of Love,English,6,92,,,23.0,No Semifinal,,,,,
2000,Israel,il,PingPong,Sameach (שמח),Hebrew,22,7,,,1.0,No Semifinal,,,,,
2000,Latvia,lv,Brainstorm,My Star,English,3,136,,,21.0,No Semifinal,,,,,
2000,Malta,mt,Claudette Pace,Desire,"English, Maltese",8,73,,,7.0,No Semifinal,,,,,
2000,Netherlands,nl,Linda Wagenmakers,No Goodbyes,English,13,40,,,2.0,No Semifinal,,,,,
2000,North Macedonia,mk,XXL,100% te ljubam (100% те љубам),"Macedonian, English",15,29,,,19.0,No Semifinal,,,,,
2000,Norway,no,Charmed,My Heart Goes Boom,English,11,57,,,8.0,No Semifinal,,,,,
2000,Romania,ro,Taxi,The Moon,English,17,25,,,6.0,No Semifinal,,,,,
2000,Russia,ru,Alsou,Solo,English,2,155,,,9.0,No Semifinal,,,,,
2000,Spain,es,Serafín Zubiri,Colgado de un sueño,Spanish,18,18,,,13.0,No Semifinal,,,,,
2000,Sweden,se,Roger Pontare,When Spirits Are Calling My Name,English,7,88,,,18.0,No Semifinal,,,,,
2000,Switzerland,ch,Jane Bogaert,La vita cos'è?,Italian,20,14,,,16.0,No Semifinal,,,,,
2000,Turkey,tr,Pınar Ayhan & The SOS,Yorgunum Anla,"Turkish, English",10,59,,,22.0,No Semifinal,,,,,
2000,United Kingdom,gb,Nicki French,Don't Play That Song Again,English,16,28,,,3.0,No Semifinal,,,,,
2001,Bosnia and Herzegovina,ba,Nino Pršeš,Hano,"Bosnian, English",14,29,,,3.0,No Semifinal,,,,,
2001,Croatia,hr,Vanna,Strings of My Heart,English,10,42,,,10.0,No Semifinal,,,,,
2001,Denmark,dk,Rollo & King,Never Ever Let You Go,English,2,177,,,23.0,No Semifinal,,,,,
2001,Estonia,ee,"Tanel Padar, Dave Benton & 2XL",Everybody,English,1,198,,,20.0,No Semifinal,,,,,
2001,France,fr,Natasha St-Pier,Je n'ai que mon âme,"French, English",4,142,,,14.0,No Semifinal,,,,,
2001,Germany,de,Michelle,Wer Liebe lebt,"German, English",8,66,,,19.0,No Semifinal,,,,,
2001,Greece,gr,Antique,(I Would) Die for You,"Greek, English",3,147,,,22.0,No Semifinal,,,,,
2001,Iceland,is,Two Tricky,Angel,English,22,3,,,2.0,No Semifinal,,,,,
2001,Ireland,ie,Gary O'Shaughnessy,Without Your Love,English,21,6,,,12.0,No Semifinal,,,,,
2001,Israel,il,Tal Sondak,En Davar (אין דבר),Hebrew,16,25,,,5.0,No Semifinal,,,,,
2001,Latvia,lv,Arnis Mednis,Too Much,English,18,16,,,9.0,No Semifinal,,,,,
2001,Lithuania,lt,SKAMP,You Got Style,"English, Lithuanian",13,35,,,8.0,No Semifinal,,,,,
2001,Malta,mt,Fabrizio Faniello,Another Summer Night,English,9,48,,,21.0,No Semifinal,,,,,
2001,Netherlands,nl,Michelle,Out on My Own,English,18,16,,,1.0,No Semifinal,,,,,
2001,Norway,no,Haldor Lægreid,On My Own,English,22,3,,,4.0,No Semifinal,,,,,
2001,Poland,pl,Piasek,2 Long,English,20,11,,,18.0,No Semifinal,,,,,
2001,Portugal,pt,MTM,Só sei ser feliz assim,Portuguese,17,18,,,11.0,No Semifinal,,,,,
2001,Russia,ru,Mumiy Troll,Lady Alpine Blue,English,12,37,,,6.0,No Semifinal,,,,,
2001,Slovenia,si,Nuša Derenda,Energy,English,7,70,,,17.0,No Semifinal,,,,,
2001,Spain,es,David Civera,Dile que la quiero,Spanish,6,76,,,13.0,No Semifinal,,,,,
2001,Sweden,se,Friends,Listen to Your Heartbeat,English,5,100,,,7.0,No Semifinal,,,,,
2001,Turkey,tr,Sedat Yüce,Sevgiliye Son,"Turkish, English",11,41,,,15.0,No Semifinal,,,,,
2001,United Kingdom,gb,Lindsay Dracass,No Dream Impossible,English,15,28,,,16.0,No Semifinal,,,,,
2002,Austria,at,Manuel Ortega,Say a Word,English,18,26,,,3.0,No Semifinal,,,,,
2002,Belgium,be,Sergio & The Ladies,Sister,English,13,33,,,16.0,No Semifinal,,,,,
2002,Bosnia and Herzegovina,ba,Maja,Na jastuku za dvoje (На јастуку за двоје),"Serbian, English",13,33,,,15.0,No Semifinal,,,,,
2002,Croatia,hr,Vesna Pisarović,Everything I Want,English,11,44,,,6.0,No Semifinal,,,,,
2002,Cyprus,cy,One,Gimme,English,6,85,,,1.0,No Semifinal,,,,,
2002,Denmark,dk,Malene Mortensen,Tell Me Who You Are,English,24,7,,,14.0,No Semifinal,,,,,
2002,Estonia,ee,Sahlene,Runaway,English,3,111,,,8.0,No Semifinal,,,,,
2002,Finland,fi,Laura,Addicted to You,English,20,24,,,13.0,No Semifinal,,,,,
2002,France,fr,Sandrine François,Il faut du temps,French,5,104,,,17.0,No Semifinal,,,,,
2002,Germany,de,Corinna May,I Can't Live Without Music,English,21,17,,,18.0,No Semifinal,,,,,
2002,Greece,gr,Michalis Rakintzis,S.A.G.A.P.O.,English,17,27,,,4.0,No Semifinal,,,,,
2002,Israel,il,Sarit Hadad,Light a Candle,"Hebrew, English",12,37,,,10.0,No Semifinal,,,,,
2002,Latvia,lv,Marie N,I Wanna,English,1,176,,,23.0,No Semifinal,,,,,
2002,Lithuania,lt,Aivaras,Happy You,English,23,12,,,24.0,No Semifinal,,,,,
2002,Malta,mt,Ira Losco,7th Wonder,English,2,164,,,20.0,No Semifinal,,,,,
2002,North Macedonia,mk,Karolina,Od nas zavisi (Од нас зависи),Macedonian,19,25,,,9.0,No Semifinal,,,,,
2002,Romania,ro,Monica Anghel & Marcel Pavel,Tell Me Why,English,9,71,,,21.0,No Semifinal,,,,,
2002,Russia,ru,Prime Minister,Northern Girl,English,10,55,,,7.0,No Semifinal,,,,,
2002,Slovenia,si,Sestre,Samo ljubezen,Slovene,13,33,,,22.0,No Semifinal,,,,,
2002,Spain,es,Rosa,Europe's Living a Celebration,"Spanish, English",7,81,,,5.0,No Semifinal,,,,,
2002,Sweden,se,Afro-dite,Never Let It Go,English,8,72,,,12.0,No Semifinal,,,,,
2002,Switzerland,ch,Francine Jordi,Dans le jardin de mon âme,French,22,15,,,11.0,No Semifinal,,,,,
2002,Turkey,tr,Buket Bengisu & Group Safir,Leylaklar Soldu Kalbinde,"Turkish, English",16,29,,,19.0,No Semifinal,,,,,
2002,United Kingdom,gb,Jessica Garlick,Come Back,English,3,111,,,2.0,No Semifinal,,,,,
2003,Austria,at,Alf Poier,Weil der Mensch zählt,German,6,101,,,2.0,No Semifinal,,,,,
2003,Belgium,be,Urban Trad,Sanomi,Imaginary,2,165,,,22.0,No Semifinal,,,,,
2003,Bosnia and Herzegovina,ba,Mija Martina,Ne brini,"Croatian, English",16,27,,,6.0,No Semifinal,,,,,
2003,Croatia,hr,Claudia Beni,Više nisam tvoja,"Croatian, English",15,29,,,8.0,No Semifinal,,,,,
2003,Cyprus,cy,Stelios Constantas,Feeling Alive,English,20,15,,,9.0,No Semifinal,,,,,
2003,Estonia,ee,Ruffus,Eighties Coming Back,English,21,14,,,23.0,No Semifinal,,,,,
2003,France,fr,Louisa Baïleche,Monts et merveilles,French,18,19,,,19.0,No Semifinal,,,,,
2003,Germany,de,Lou,Let's Get Happy,English,11,53,,,10.0,No Semifinal,,,,,
2003,Greece,gr,Mando,Never Let You Go,English,17,25,,,17.0,No Semifinal,,,,,
2003,Iceland,is,Birgitta,Open Your Heart,English,8,81,,,1.0,No Semifinal,,,,,
2003,Ireland,ie,Mickey Harte,We've Got the World,English,11,53,,,3.0,No Semifinal,,,,,
2003,Israel,il,Lior Narkis,Words for Love,Hebrew,19,17,,,13.0,No Semifinal,,,,,
2003,Latvia,lv,F.L.Y.,Hello from Mars,English,24,5,,,21.0,No Semifinal,,,,,
2003,Malta,mt,Lynn Chircop,To Dream Again,English,25,4,,,5.0,No Semifinal,,,,,
2003,Netherlands,nl,Esther Hart,One More Night,English,13,45,,,14.0,No Semifinal,,,,,
2003,Norway,no,Jostein Hasselgård,I'm Not Afraid to Move On,English,4,123,,,18.0,No Semifinal,,,,,
2003,Poland,pl,Ich Troje,Keine Grenzen – Żadnych granic,"German, Polish, Russian",7,90,,,20.0,No Semifinal,,,,,
2003,Portugal,pt,Rita Guerra,Deixa-me sonhar,"Portuguese, English",22,13,,,7.0,No Semifinal,,,,,
2003,Romania,ro,Nicola,Don't Break My Heart,English,10,73,,,24.0,No Semifinal,,,,,
2003,Russia,ru,t.A.T.u.,"Ne ver', ne boysia (Не верь, не бойся)",Russian,3,164,,,11.0,No Semifinal,,,,,
2003,Slovenia,si,Karmen,Nanana,English,23,7,,,26.0,No Semifinal,,,,,
2003,Spain,es,Beth,Dime,Spanish,8,81,,,12.0,No Semifinal,,,,,
2003,Sweden,se,Fame,Give Me Your Love,English,5,107,,,25.0,No Semifinal,,,,,
2003,Turkey,tr,Sertab Erener,Everyway That I Can,English,1,167,,,4.0,No Semifinal,,,,,
2003,Ukraine,ua,Olexandr,Hasta la Vista,English,14,30,,,16.0,No Semifinal,,,,,
2003,United Kingdom,gb,Jemini,Cry Baby,English,26,0,,,15.0,No Semifinal,,,,,
2004,Albania,al,Anjeza Shahini,The Image of You,English,7,106,,,9.0,Yes,4,167,,,13.0
2004,Andorra,Andorra,Marta Roure,Jugarem a estimar-nos,Catalan,NQ,NQ,,,,Yes,18,12,,,6.0
2004,Austria,at,Tie Break,Du bist,German,21,9,,,2.0,AQ,AQ,AQ,,,
2004,Belarus,Belarus,Aleksandra and Konstantin,My Galileo,English,NQ,NQ,,,,Yes,19,10,,,2.0
2004,Belgium,be,Xandee,1 Life,English,22,7,,,13.0,AQ,AQ,AQ,,,
2004,Bosnia and Herzegovina,ba,Deen,In the Disco,English,9,91,,,12.0,Yes,7,133,,,21.0
2004,Croatia,hr,Ivan Mikulić,You Are the Only One,English,12,50,,,11.0,Yes,9,72,,,18.0
2004,Cyprus,cy,Lisa Andreas,Stronger Every Minute,English,5,170,,,21.0,Yes,5,149,,,14.0
2004,Denmark,Denmark,Tomas Thordarson,Shame on You,English,NQ,NQ,,,,Yes,13,56,,,19.0
2004,Estonia,Estonia,Neiokõsõ,Tii,Võro,NQ,NQ,,,,Yes,11,57,,,17.0
2004,Finland,Finland,Jari Sillanpää,Takes 2 to Tango,English,NQ,NQ,,,,Yes,14,51,,,1.0
2004,France,fr,Jonatan Cerrada,À chaque pas,"French, Spanish",15,40,,,4.0,AQ,AQ,AQ,,,
2004,Germany,de,Max,Can't Wait Until Tonight,"English, Turkish",8,93,,,8.0,AQ,AQ,AQ,,,
2004,Greece,gr,Sakis Rouvas,Shake It,English,3,252,,,16.0,Yes,3,328,,,10.0
2004,Iceland,is,Jónsi,Heaven,English,19,16,,,17.0,AQ,AQ,AQ,,,
2004,Ireland,ie,Chris Doran,If My World Stopped Turning,English,22,7,,,18.0,AQ,AQ,AQ,,,
2004,Israel,Israel,David D'Or,Leha'amin (להאמין),"Hebrew, English",NQ,NQ,,,,Yes,11,57,,,5.0
2004,Latvia,Latvia,Fomins and Kleins,Dziesma par laimi,Latvian,NQ,NQ,,,,Yes,17,23,,,4.0
2004,Lithuania,Lithuania,Linas and Simona,What's Happened to Your Love?,English,NQ,NQ,,,,Yes,16,26,,,12.0
2004,Malta,mt,Julie and Ludwig,On Again... Off Again,English,12,50,,,6.0,Yes,8,74,,,8.0
2004,Monaco,Monaco,Maryon,Notre planète,French,NQ,NQ,,,,AQ,AQ,AQ,,,9.0
2004,Netherlands,nl,Re-Union,Without You,English,20,11,,,7.0,Yes,6,146,,,22.0
2004,North Macedonia,mk,Toše Proeski,Life,English,14,47,,,15.0,Yes,10,71,,,15.0
2004,Norway,no,Knut Anders Sørum,High,English,24,3,,,3.0,AQ,AQ,AQ,,,
2004,Poland,pl,Blue Café,Love Song,"English, Spanish",17,27,,,19.0,AQ,AQ,AQ,,,
2004,Portugal,Portugal,Sofia Vitória,Foi magia,Portuguese,NQ,NQ,,,,Yes,15,38,,,7.0
2004,Romania,ro,Sanda,I Admit,English,18,18,,,23.0,AQ,AQ,AQ,,,
2004,Russia,ru,Julia Savicheva,Believe Me,English,11,67,,,14.0,AQ,AQ,AQ,,,
2004,Serbia and Montenegro,cs,Željko Joksimović & Ad-Hoc Orchestra,Lane moje (Лане моје),Serbian,2,263,,,5.0,Yes,1,263,,,20.0
2004,Slovenia,Slovenia,Platin,Stay Forever,English,NQ,NQ,,,,Yes,21,5,,,16.0
2004,Spain,es,Ramón,Para llenarme de ti,Spanish,10,87,,,1.0,AQ,AQ,AQ,,,
2004,Sweden,se,Lena Philipsson,It Hurts,English,5,170,,,24.0,AQ,AQ,AQ,,,
2004,Switzerland,Switzerland,Piero Esteriore & The MusicStars,Celebrate,English,NQ,NQ,,,,Yes,22,0,,,3.0
2004,Turkey,tr,Athena,For Real,English,4,195,,,22.0,AQ,AQ,AQ,,,
2004,Ukraine,ua,Ruslana,Wild Dances,"English, Ukrainian",1,280,,,10.0,Yes,2,256,,,11.0
2004,United Kingdom,gb,James Fox,Hold On to Our Love,English,16,29,,,20.0,AQ,AQ,AQ,,,
2005,Albania,al,Ledina Çelo,Tomorrow I Go,English,16,53,,,8.0,AQ,AQ,AQ,,,
2005,Andorra,Andorra,Marian van de Wal,La mirada interior,Catalan,NQ,NQ,,,,Yes,23,27,,,18.0
2005,Austria,Austria,Global.Kryner,Y así,"English, Spanish",NQ,NQ,,,,Yes,25,17,,,1.0
2005,Belarus,Belarus,Angelica Agurbash,Love Me Tonight,English,NQ,NQ,,,,Yes,13,67,,,8.0
2005,Belgium,Belgium,Nuno Resende,Le grand soir,French,NQ,NQ,,,,Yes,22,29,,,11.0
2005,Bosnia and Herzegovina,ba,Feminnem,Call Me,English,14,79,,,21.0,AQ,AQ,AQ,,,
2005,Bulgaria,Bulgaria,Kaffe,Lorraine,English,NQ,NQ,,,,Yes,19,49,,,21.0
2005,Croatia,hr,Boris Novković feat. Lado Members,Vukovi umiru sami,Croatian,11,115,,,18.0,Yes,4,169,,,20.0
2005,Cyprus,cy,Constantinos Christoforou,Ela Ela,English,18,46,,,9.0,AQ,AQ,AQ,,,
2005,Denmark,dk,Jakob Sveistrup,Talking to You,English,9,125,,,13.0,Yes,3,185,,,24.0
2005,Estonia,Estonia,Suntribe,Let's Get Loud,English,NQ,NQ,,,,Yes,20,31,,,12.0
2005,Finland,Finland,Geir Rönning,Why?,English,NQ,NQ,,,,Yes,18,50,,,16.0
2005,France,fr,Ortal,Chacun pense à soi,French,23,11,,,24.0,AQ,AQ,AQ,,,
2005,Germany,de,Gracia,Run and Hide,English,24,4,,,17.0,AQ,AQ,AQ,,,
2005,Greece,gr,Helena Paparizou,My Number One,English,1,230,,,19.0,AQ,AQ,AQ,,,
2005,Hungary,hu,NOX,"Forogj, világ!",Hungarian,12,97,,,1.0,Yes,5,167,,,15.0
2005,Iceland,Iceland,Selma,If I Had Your Love,English,NQ,NQ,,,,Yes,16,52,,,10.0
2005,Ireland,Ireland,Donna and Joe,Love?,English,NQ,NQ,,,,Yes,14,53,,,22.0
2005,Israel,il,Shiri Maimon,Hasheket Shenish'ar (השקט שנשאר),"Hebrew, English",4,154,,,11.0,Yes,7,158,,,7.0
2005,Latvia,lv,Walters & Kazha,The War Is Not Over,English,5,153,,,23.0,Yes,10,85,,,5.0
2005,Lithuania,Lithuania,Laura & The Lovers,Little by Little,English,NQ,NQ,,,,Yes,25,17,,,2.0
2005,Malta,mt,Chiara,Angel,English,2,192,,,3.0,AQ,AQ,AQ,,,
2005,Moldova,md,Zdob și Zdub,Boonika bate doba,"English, Romanian",6,148,,,7.0,Yes,2,207,,,4.0
2005,Monaco,Monaco,Lise Darly,Tout de moi,French,NQ,NQ,,,,Yes,24,22,,,6.0
2005,Netherlands,Netherlands,Glennis Grace,My Impossible Dream,English,NQ,NQ,,,,Yes,14,53,,,9.0
2005,North Macedonia,mk,Martin Vučić,Make My Day,English,17,52,,,15.0,Yes,9,97,,,17.0
2005,Norway,no,Wig Wam,In My Dreams,English,9,125,,,5.0,Yes,6,164,,,13.0
2005,Poland,Poland,Ivan & Delfin,Czarna dziewczyna,"Polish, Russian",NQ,NQ,,,,Yes,11,81,,,25.0
2005,Portugal,Portugal,2B,Amar,"Portuguese, English",NQ,NQ,,,,Yes,17,51,,,3.0
2005,Romania,ro,Luminița Anghel & Sistem,Let Me Try,English,3,158,,,4.0,Yes,1,235,,,14.0
2005,Russia,ru,Natalia Podolskaya,Nobody Hurt No One,English,15,57,,,20.0,AQ,AQ,AQ,,,
2005,Serbia and Montenegro,cs,No Name,Zauvijek moja (Заувијек моја),Montenegrin,7,137,,,12.0,AQ,AQ,AQ,,,
2005,Slovenia,Slovenia,Omar Naber,Stop,Slovene,NQ,NQ,,,,Yes,12,69,,,23.0
2005,Spain,es,Son de Sol,Brujería,Spanish,21,28,,,10.0,AQ,AQ,AQ,,,
2005,Sweden,se,Martin Stenmarck,Las Vegas,English,19,30,,,14.0,AQ,AQ,AQ,,,
2005,Switzerland,ch,Vanilla Ninja,Cool Vibes,English,8,128,,,22.0,Yes,8,114,,,19.0
2005,Turkey,tr,Gülseren,Rimi Rimi Ley,Turkish,13,92,,,6.0,AQ,AQ,AQ,,,
2005,Ukraine,ua,GreenJolly,Razom nas bahato (Разом нас багато),"Ukrainian, English",19,30,,,16.0,AQ,AQ,AQ,,,
2005,United Kingdom,gb,Javine,Touch My Fire,English,22,18,,,2.0,AQ,AQ,AQ,,,
2006,Albania,Albania,Luiz Ejlli,Zjarr e ftohtë,Albanian,NQ,NQ,,,,Yes,14,58,,,6.0
2006,Andorra,Andorra,Jenny,Sense tu,Catalan,NQ,NQ,,,,Yes,23,8,,,4.0
2006,Armenia,am,André,Without Your Love,English,8,129,,,24.0,Yes,6,150,,,1.0
2006,Belarus,Belarus,Polina Smolova,Mum,English,NQ,NQ,,,,Yes,22,10,,,5.0
2006,Belgium,Belgium,Kate Ryan,Je t'adore,English,NQ,NQ,,,,Yes,12,69,,,7.0
2006,Bosnia and Herzegovina,ba,Hari Mata Hari,Lejla,Bosnian,3,229,,,13.0,Yes,2,267,,,22.0
2006,Bulgaria,Bulgaria,Mariana Popova,Let Me Cry,English,NQ,NQ,,,,Yes,17,36,,,2.0
2006,Croatia,hr,Severina,Moja štikla,Croatian,12,56,,,20.0,AQ,AQ,AQ,,,
2006,Cyprus,Cyprus,Annet Artani,Why Angels Cry,English,NQ,NQ,,,,Yes,15,57,,,9.0
2006,Denmark,dk,Sidsel Ben Semmane,Twist of Love,English,18,26,,,9.0,AQ,AQ,AQ,,,
2006,Estonia,Estonia,Sandra Oxenryd,Through My Window,English,NQ,NQ,,,,Yes,18,28,,,21.0
2006,Finland,fi,Lordi,Hard Rock Hallelujah,English,1,292,,,17.0,1,1,292,,,16.0
